,Page,Title,Price,Location,Beds,Baths,Area,Badge,Date Added,URL
41,2,5 Kanal Fully Furnished Farm House For Sale In Gulberg Green Islamabad,PKR 35 Crore,"Gulberg Greens, Gulberg",8.0,7.0,5 Kanal,hot,Added: 48 minutes ago,https://www.zameen.com/Property/gulberg_gulberg_greens_5_kanal_fully_furnished_farm_house_for_sale_in_gulberg_green_islamabad-52756952-8312-1.html
42,2,500 Sq. Yd. Corner House For Sale F/11 Islamabad,PKR 19 Crore,"F-11, Islamabad",9.0,7.0,1 Kanal,,Added: 38 minutes ago,https://www.zameen.com/Property/islamabad_f-11_500_sq_yd_corner_house_for_sale_f_11_islamabad-53091680-163-1.html
43,2,House for sale in CDA Sector Islamabad F/11,PKR 14.5 Crore,"F-11, Islamabad",5.0,7.0,18 Marla,,Added: 40 minutes ago,https://www.zameen.com/Property/islamabad_f-11_house_for_sale_in_cda_sector_islamabad_f_11-53138045-163-1.html
44,2,Ultra Modern Corner House with Solar For Sale At Peak Location In DHA-2,PKR 12.75 Crore,"DHA Defence Phase 2, DHA Defence",5.0,7.0,1 Kanal,,Added: 41 minutes ago,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_ultra_modern_corner_house_with_solar_for_sale_at_peak_location_in_dha-2-52035759-339-1.html
45,2,Luxurious Living Exquisite Residence Bungalow For Sale At DHA 2,PKR 7.98 Crore,"DHA Defence Phase 2, DHA Defence",6.0,7.0,1 Kanal,,Added: 41 minutes ago,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_luxurious_living_exquisite_residence_bungalow_for_sale_at_dha_2-52069849-339-1.html
46,2,House for Sale,PKR 19 Crore,"G-10/2, G-10",8.0,6.0,1.2 Kanal,,Added: 45 minutes ago,https://www.zameen.com/Property/g_10_g-10_2_house_for_sale-53219039-3325-1.html
47,2,Kanal Brand New House Available For Sale In Dha Phase 2 Islamabad,PKR 10.5 Crore,"DHA Phase 2 - Sector D, DHA Defence Phase 2",6.0,6.0,1 Kanal,,Added: 46 minutes ago,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_d_kanal_brand_new_house_available_for_sale_in_dha_phase_2_islamabad-52538750-3199-1.html
48,2,Sector N 8 Marla For Sale In Bahria Enclvae Islamabad,PKR 3.3 Crore,"Bahria Enclave - Sector N, Bahria Enclave",5.0,6.0,8 Marla,,Added: 1 hour ago,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_sector_n_8_marla_for_sale_in_bahria_enclvae_islamabad-53017217-11975-1.html
49,2,Sector N 8 Marla House for Sale In Bahria enclave Islamabad,PKR 3.6 Crore,"Bahria Enclave - Sector N, Bahria Enclave",5.0,6.0,8 Marla,,Added: 1 hour ago,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_sector_n_8_marla_house_for_sale_in_bahria_enclave_islamabad-53077209-11975-1.html
50,3,SUNFACE JUST LIKE BRAND NEW HOUSE FOR SALE,PKR 3.19 Crore,"G-13/1, G-13",4.0,5.0,4 Marla,super hot,Added: 3 hours ago,https://www.zameen.com/Property/g_13_g-13_1_sunface_just_like_brand_new_house_for_sale-53357721-3337-1.html
