,Type,Price(Cr),Bath(s),Area(Marla),Bedroom(s),Location,Description,Amenities: Main Features,Amenities: Rooms,Amenities: Business and Communication,Amenities: Community Features,Amenities: Healthcare Recreational,Amenities: Other Facilities,IsPrimeLoc,SolarInstalled,WaterBore,CornerHouse,luxury_type,Built in year,Parking Spaces,Floor,Lobby in Building,Elevators,Service Elevators in Building,Floor in Building,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,Community Swimming Pool,Community Gym,Swimming Pool,Sauna,Jacuzzi,Security Staff,Maintenance Staff,Facilities for Disabled,Laundry or Dry Cleaning Facility,Communal/Shared Kitchen,Storey Unit
1748,Flat,5.38,3.0,7.0,2.0,Eighteen,"Experience the ultimate in luxury living at EIGHTEEN, a prestigious golf course community. - Available on fresh booking - 15% Down Payment - 3/4 -Years Instalment Plan This stunning 2-bedroom apartment boasts breathtaking golf course views, perfectly blending natural beauty with sophisticated elegance. Wake up to the serene sights of the golf course, with the lush green fairways and manicured greens stretching out as far as the eye can see. The apartment's expansive windows and balconies provide an uninterrupted view of the golf course, creating a sense of tranquility and connection to nature. This 2-bedroom apartment is designed to provide the ultimate comfort and luxury, with features that include: - Spacious living areas with high ceilings and large windows - Gourmet kitchen with high-end appliances and ample storage - Three generously sized bedrooms with en-suite bathrooms and ample closet space - Expansive balconies with stunning golf course views - Access to world-class amenities, including a private golf course, clubhouse, and recreational facilities","Built in year, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Floors in Building, Elevators, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 2, Bathrooms: 3, Servant Quarters, Drawing Room, Dining Room, Kitchens: 1, Powder Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Facilities for Disabled, Pets Allowed, Other Facilities",False,False,False,False,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,
1749,Flat,0.9313,1.0,3.3,,Mumtaz City,"Spacious ONE BED LUXURY 1 X BEDROOM 1 X BATHROOM 745 Square Feet Flat Available For Sale In THE PEARL BY MUMTAZ CITY, ON INSTALLMENT We Have Got Just The Right Property For You. So, Stop Whatever You'Re Doing And Grab Your Share As Soon As Possible. Flat Comes With Spacious Rooms And Amenities, Making For A Comfortable Place To Live. Mumtaz City Is Popular For Its Vibrant Eateries, Malls And Other Attractions So Living There You Will Never Run Out Of Things To Explore. 745 Square Feet Property Is Ideal For Residential Or Commercial Use. The Market Trends Confirm That The Quoted Price Of Rs. 11177700 Is Quite Reasonable. This Listing From Mumtaz City Is Perfect For You And Your Family. Read Below To Find Out What This Property Offers. You Can Decorate The Spacious Drawing Room Space Any Way You Like To Entertain Your Guests. A Well-Equipped Powder Room Is One Of The Most Convenient Features Of The Property. You Can Run Your Business Conveniently With High-Speed Broadband Internet Access That Comes With This Commercial Centre. Make Your Meal Times More Special, With This Beautifully Designed Dining Area That Is Part Of This Flat. The Shared Kitchen In The Building Allows You To Share Recipes And Learn New Ones. The Sitting Room In This Listing Is Perfect For Informal Gatherings. In Summers, The Community Swimming Pool Can Be A Blessing For The Building Residents. Want To Know More? Contact Us Now.","Built in year: 2025, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Floor: 8, Service Elevators in Building","Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre",,"Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled",False,False,False,False,0,2025.0,1.0,8.0,1.0,,1.0,,,,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,
1750,Flat,0.76,1.0,2.4,1.0,E-11,"E-11/2 Medical Socity Royal Apartment One Bedroom Fully-Furnished 1st Floor For Sale On Investor Price Accommodation: One Bedroom With Attached Bathroom TV Lounge Open Kitchen Elevators Installed Underground Car Parking Rental Value 55,000/Month For Further Info and Options Feel Free to Contact Sabir Saeed","Built in year: 2019, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Floors in Building: 5, Elevators: 2, Service Elevators in Building, Furnished","Bedrooms: 1, Bathrooms: 1, Kitchens: 1, Study Room, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre","Sauna, Jacuzzi","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Pets Not Allowed",False,False,False,False,0,2019.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1754,Flat,1.3,1.0,4.2,1.0,Bahria Town,"Beautifully designed 1 Bedroom Apartment available for sale in The Royal Mall & Residency, located in the heart of Bahria Enclave Islamabad. This spacious apartment offers a comfortable and modern lifestyle with premium finishing and a prime location. Details: Size: 950 Sq. ft Floor: 3rd Price: 1.30 Crore PKR Facing: Main Road & Margalla Hills Bedroom: 1 (with attached modern washroom) Spacious Lounge & Dining Area Open Kitchen with Cabinets Terrace with Scenic Views Building Features: 24/7 Security, Elevators, Backup Power, and Dedicated Parking This apartment is ideal for both residential living and investment purposes, offering a peaceful environment, easy access to commercial areas, parks, and nearby amenities within Bahria Enclave. Contact for Details & Visit:","Built in year: 2022, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Flooring, Electricity Backup, Waste Disposal, Floors in Building: 9, Elevators: 10, Service Elevators in Building, Furnished","Bedrooms: 1, Bathrooms: 1, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Store Rooms: 1, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Intercom","Community Lawn or Garden, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre",,"Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Facilities for Disabled, Pets Not Allowed",True,False,False,False,0,2022.0,1.0,,1.0,10.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,
1766,Flat,8.3,3.0,8.7,3.0,F-10,Size 1960 sq feet 3rd floor 3 bed with attach bath Drawing Lounge Kitchen plus dirty kitchen Private lift inside flat Sun facing Direct deal to alottee Gym pool inside the building Security 24/7 Electric backup 24/7,"Built in year: 2025, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Other Main Features, Furnished","Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",False,False,False,False,0,2025.0,1.0,,,,,,3.0,4.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,3.0
1768,Flat,0.55,1.0,2.9,1.0,E-11,1 bed apartment is available for sale in Fortune residency building in E11/4. Prime location and easy access. Underground Parking And All Basic Facilities available.,"Built in year: 2018, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Flooring, Electricity Backup, Waste Disposal, Floor: 6, Floors in Building: 7, Elevators","Bedrooms: 1, Bathrooms: 1, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque",,,True,False,False,False,0,2018.0,1.0,6.0,1.0,1.0,,7.0,1.0,1.0,,0.0,,1.0,1.0,,,,,,,,,
1770,Flat,2.45,1.0,4.4,1.0,GT Road,"Welcome to the new identity of TWIN CITIES, ZETA 1 MALL. OPPOSITE GIGA . APPARTMENT for sale on GREAT DISCOUNT. Beautiful location with all amenities at walk-able distance. Great TO LIVE OR invest. Enjoy the HUSTLE AND BUSTLE OF A GREAT SHOPPING MALL, WHEN REQUIRED. ANY BAD TIME TO BUY A PROPERTY IS. . . LATER. https://g. co/kgs/8sL9NF","Built in year: 2025, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Floor: 5, Floors in Building: 11, Elevators, Other Main Features","Bedrooms: 5, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Store Rooms: 2, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Security Staff, Other Facilities",False,False,False,False,0,2025.0,1.0,5.0,1.0,1.0,,11.0,5.0,6.0,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,
1772,Flat,1.15,1.0,3.6,1.0,Gulberg,Gevora international Mall & Residency Apartment size 804 SQ ft Proper 1 BHK apartment It is located on the main Gulberg Expressway in Block E of Gulberg greens Islamabad. Plot size is 8 kanal with 2 basement parkings and total 18 stories of building. Contact us we will try to make payment plan accordingly to your monthly installment capacity. Contact For further details,"Built in year: 2025, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 8, Floors in Building: 18, Elevators: 4, Service Elevators in Building, Furnished","Bedrooms: 1, Bathrooms: 1, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Store Rooms: 1, Lounge or Sitting Room","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Pets Not Allowed",False,False,False,False,0,2025.0,1.0,8.0,1.0,4.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1791,Flat,1.97,2.0,5.3,2.0,Main Murre Road,"Exclusive 2-Bedroom Luxury Suite at 360 The Residencies: Islamabad's Pinnacle of Elevated Living Welcome to 360 The Residencies, the highly acclaimed residential marvel that redefines modern luxury on Main Murree Road, Zone IV, Islamabad. This is more than an apartment; it is a lifestyle investment offering a harmonious blend of urban convenience and serene natural beauty. This immaculate 2-Bedroom Executive Apartment is perfectly suited for small families, professionals, or investors seeking a high-yield asset in a prime location Apartment Highlights Type: 2-Bedroom Executive Apartment Size (Approx. ): 5.31 Marla (Perfectly sized for comfort and utility). Layout: Two spacious bedrooms, each with an attached bath (ensuite), a modern kitchen, and an open-plan living/dining area. Finishes: Features top-tier interior finishes, high-quality fittings, and a smart, functional layout that maximizes natural light. Views: Enjoy the unparalleled, 360-degree panoramic views of the majestic Margalla and Murree Hills right from your balcony.","Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 12, Floors in Building: 21, Elevators, Other Main Features","Bedrooms: 4, Bathrooms: 4, Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",True,False,False,False,0,,2.0,12.0,1.0,1.0,,21.0,4.0,4.0,,,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,
1793,Flat,9.0,4.0,8.7,3.0,F-10,"3 bed, 5th floor, 1,960 sq feet, 2 Car park, private lift, margalla facing view, swiming pool, suana, Gym, Cafe. Builder Price 8 Crore 50 Lacs *All transfer fees to be paid by the buyer. *","Built in year: 2023, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 5, Floors in Building: 5, Elevators: 1, Service Elevators in Building, Other Main Features","Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Pets Allowed, Other Facilities",False,False,False,False,0,2023.0,2.0,5.0,1.0,1.0,1.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1799,Flat,0.36,1.0,1.6,5.0,Top City 1,"Luxury Apartment Is Available For Sale On Eeasy Installments Plan Down Payment: 360,000. PKR. Monthly Installment : 25,000. PKR 1.15% special discount on full cash payment at the time of booking. 2. All installments must be paid by the allottees as per the payment schedule agreed by the allottee between 1st to 10th of each month, 3. and the allottee shall abide by the terms & conditions as mentioned in the booking/application form. 4. All extra charges will be paid within 180 days from the date of booking. 5. The allocation of the unit shall remain a Provisional Unit until the company receives full & final payment. 6. Documentation charges for Lease, Utility Connection Charges & Generator COC, will be charged separately as and 7. when demanded by the company as these charges are not included in the above-mentioned cost. 8. All discounts will be valid subject to regular payments. 9. All payments are to be made through cheques/pay orders in favour of DA VISIONERS BUILDERS.","Built in year: 2025, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Elevators: 2, Service Elevators in Building, Other Main Features","Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Other Facilities",False,False,False,False,0,2025.0,2.0,,1.0,2.0,1.0,,5.0,6.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1800,Flat,0.8,2.0,3.5,2.0,Top City 1,"Luxury Apartment Is Available For Sale On Eeasy Installments Plan Down Payment: 800,000. PKR. Monthly Installment : 60,000. PKR 1.15% special discount on full cash payment at the time of booking. 2. All installments must be paid by the allottees as per the payment schedule agreed by the allottee between 1st to 10th of each month, 3. and the allottee shall abide by the terms & conditions as mentioned in the booking/application form. 4. All extra charges will be paid within 180 days from the date of booking. 5. The allocation of the unit shall remain a Provisional Unit until the company receives full & final payment. 6. Documentation charges for Lease, Utility Connection Charges & Generator COC, will be charged separately as and 7. when demanded by the company as these charges are not included in the above-mentioned cost. 8. All discounts will be valid subject to regular payments. 9. All payments are to be made through cheques/pay orders in favour of DA VISIONERS BUILDERS.","Built in year: 2021, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Elevators: 2, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 8, Bathrooms: 8, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Other Facilities",False,False,False,False,0,2021.0,2.0,,1.0,2.0,1.0,,8.0,8.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1801,Flat,0.8,2.0,3.5,2.0,Top City 1,"Luxury Apartment Is Available For Sale On Eeasy Installments Plan Down Payment: 800,000. PKR. Monthly Installment : 60,000. PKR 1.15% special discount on full cash payment at the time of booking. 2. All installments must be paid by the allottees as per the payment schedule agreed by the allottee between 1st to 10th of each month, 3. and the allottee shall abide by the terms & conditions as mentioned in the booking/application form. 4. All extra charges will be paid within 180 days from the date of booking. 5. The allocation of the unit shall remain a Provisional Unit until the company receives full & final payment. 6. Documentation charges for Lease, Utility Connection Charges & Generator COC, will be charged separately as and 7. when demanded by the company as these charges are not included in the above-mentioned cost. 8. All discounts will be valid subject to regular payments. 9. All payments are to be made through cheques/pay orders in favour of DA VISIONERS BUILDERS.","Built in year: 2025, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Elevators: 2, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Other Facilities",False,False,False,False,0,2025.0,2.0,,1.0,2.0,1.0,,3.0,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1807,Flat,2.4,3.0,7.1,3.0,Mumtaz City,"Luxury Apartments in Mumtaz City, Islamabad Best Time to Invest Below Market Rates! Apartment Options: 2-Bedroom Apartments: Sizes: 1,172 sqft to 2,200 sqft 3-Bedroom Apartments: Sizes: 1,600 sqft to 2,560 sqft 4-Bedroom Apartments: Size: 3,000 sqft Why Invest Now? Below Market Rates Exceptional Value for Money Flexible Payment Plan Pay in Easy 2-Year Installments Developed by Renowned Builders with a Proven Track Record Located in Mumtaz City, Islamabad A Prime and Well-Connected Location High Investment Potential Ideal for Families and Investors Unmatched Amenities: 5-Star Lifestyle with Amenities, Including: State-of-the-Art Gym Infinity Swimming Pool Kids Play Area Jogging Tracks Multi-Purpose Community Hall High-Speed Elevators 24/7 Security and Surveillance Backup Power System Servant Rooms and Reserved Parking Payment Plan: 30% Down Payment 2 Years Easy Installments 10% on Possession Ready to View: Structure Completed Contact Us Today! Schedule your visit to the model apartment and secure your unit at the best rate. Limited Units Available Act Now!","Built in year, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Floors in Building, Elevators, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 4, Bathrooms: 4, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Pets Not Allowed, Other Facilities",False,False,False,False,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1809,Flat,0.29,,1.0,,Top City 1,studio apartment for sale in top city 1 Islamabad open kitchen attach bath Room 232 square feet 15k rent out,"Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Waste Disposal, Service Elevators in Building, Furnished","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines","Community Lawn or Garden, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre","Sauna, Jacuzzi","Security Staff, Other Facilities",False,False,False,False,0,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,
1810,Flat,1.05,2.0,4.7,2.0,Bahria Town,2 Bed Apartment With Attached Washrooms Size 1050 Sq Feet Margalla Face Tv Lounge Balcony 1 Kitchen Call Us For More Details.,"Built in year: 2023, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 2, Floors in Building: 5, Elevators: 1, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 2, Bathrooms: 2, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Facilities for Disabled, Pets Allowed, Other Facilities",False,False,False,False,0,2023.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,
1815,Flat,1.02,1.0,1.8,6.0,Islamabad Expressway,"Designed on the live, work, shop play philosophy The IMARAT Downtown is home to excellent business, leisure and wellness facilities Endless Exciting opportunities","Built in year: 2020, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Floors in Building: 17, Elevators, Service Elevators in Building, Other Main Features","Bedrooms: 6, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Store Rooms: 1, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Other Facilities",False,False,False,False,0,2020.0,1.0,1.0,,1.0,1.0,17.0,6.0,6.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,
1823,Flat,1.05,1.0,2.4,1.0,Gulberg,"1 Bedroom Apartment Available For Sale In Gulberg Greens Good food, good life and everything in between can be yours in Islamabad. At a price of Rs. 10500000 such a deal may be hard to come again. You can buy your 537 Square Feet unit and enjoy a comfortable family life close to all kinds of facilities. This Diamond Mall & Residency is currently among the top of our properties. This Flat has good value for money. Yes, you heard right. The opportunity to own a home awaits your decision with many suitable properties available for sale. Find out more details about the property with the following. Not all families need a separate dining parlour but this property has one, in case you like to make mealtimes special. You can find a professional security services team that guards the building 24/7. An adjoining drawing room also comes with the property to complete your home. A Flat that comes with a space for study room allows greater room to set a private corner. If you are religiously inclined, a prayer room in the Flat will be perfect to offer your prayers in peace and seclusion. Having a powder room in the home is a great additional feature. The daily waste disposal service ensures a clean environment. No need to hesitate. Contact us now for more information.","Built in year: 2023, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors in Building: 8, Elevators, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 5, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",False,False,False,True,0,2023.0,1.0,,,1.0,1.0,8.0,5.0,7.0,1.0,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,
